"FIPS Code","Geography","Year","Program Type","Population"
"36000","New York State","2025","Postcensal Population Estimate","20,002,427"
"36001","Albany County","2025","Postcensal Population Estimate","321,225"
"36003","Allegany County","2025","Postcensal Population Estimate","46,800"
"36005","Bronx County","2025","Postcensal Population Estimate","1,406,332"
"36007","Broome County","2025","Postcensal Population Estimate","195,736"
"36009","Cattaraugus County","2025","Postcensal Population Estimate","75,390"
"36011","Cayuga County","2025","Postcensal Population Estimate","74,365"
"36013","Chautauqua County","2025","Postcensal Population Estimate","124,126"
"36015","Chemung County","2025","Postcensal Population Estimate","80,415"
"36017","Chenango County","2025","Postcensal Population Estimate","45,715"
"36019","Clinton County","2025","Postcensal Population Estimate","78,138"
"36021","Columbia County","2025","Postcensal Population Estimate","60,168"
"36023","Cortland County","2025","Postcensal Population Estimate","45,850"
"36025","Delaware County","2025","Postcensal Population Estimate","44,305"
"36027","Dutchess County","2025","Postcensal Population Estimate","300,708"
"36029","Erie County","2025","Postcensal Population Estimate","946,741"
"36031","Essex County","2025","Postcensal Population Estimate","36,438"
"36033","Franklin County","2025","Postcensal Population Estimate","46,500"
"36035","Fulton County","2025","Postcensal Population Estimate","52,216"
"36037","Genesee County","2025","Postcensal Population Estimate","58,416"
"36039","Greene County","2025","Postcensal Population Estimate","47,238"
"36041","Hamilton County","2025","Postcensal Population Estimate","5,006"
"36043","Herkimer County","2025","Postcensal Population Estimate","59,219"
"36045","Jefferson County","2025","Postcensal Population Estimate","111,540"
"36047","Kings County","2025","Postcensal Population Estimate","2,653,963"
"36049","Lewis County","2025","Postcensal Population Estimate","26,479"
"36051","Livingston County","2025","Postcensal Population Estimate","61,438"
"36053","Madison County","2025","Postcensal Population Estimate","67,120"
"36055","Monroe County","2025","Postcensal Population Estimate","750,506"
"36057","Montgomery County","2025","Postcensal Population Estimate","50,046"
"36059","Nassau County","2025","Postcensal Population Estimate","1,398,939"
"36061","New York County","2025","Postcensal Population Estimate","1,664,862"
"36063","Niagara County","2025","Postcensal Population Estimate","208,912"
"36065","Oneida County","2025","Postcensal Population Estimate","226,392"
"36067","Onondaga County","2025","Postcensal Population Estimate","466,584"
"36069","Ontario County","2025","Postcensal Population Estimate","113,130"
"36071","Orange County","2025","Postcensal Population Estimate","417,669"
"36073","Orleans County","2025","Postcensal Population Estimate","39,825"
"36075","Oswego County","2025","Postcensal Population Estimate","118,569"
"36077","Otsego County","2025","Postcensal Population Estimate","60,589"
"36079","Putnam County","2025","Postcensal Population Estimate","99,028"
"36081","Queens County","2025","Postcensal Population Estimate","2,358,182"
"36083","Rensselaer County","2025","Postcensal Population Estimate","160,510"
"36085","Richmond County","2025","Postcensal Population Estimate","501,290"
"36087","Rockland County","2025","Postcensal Population Estimate","357,397"
"36089","St. Lawrence County","2025","Postcensal Population Estimate","105,488"
"36091","Saratoga County","2025","Postcensal Population Estimate","241,343"
"36093","Schenectady County","2025","Postcensal Population Estimate","162,581"
"36095","Schoharie County","2025","Postcensal Population Estimate","30,176"
"36097","Schuyler County","2025","Postcensal Population Estimate","16,924"
"36099","Seneca County","2025","Postcensal Population Estimate","32,883"
"36101","Steuben County","2025","Postcensal Population Estimate","91,855"
"36103","Suffolk County","2025","Postcensal Population Estimate","1,546,090"
"36105","Sullivan County","2025","Postcensal Population Estimate","80,586"
"36107","Tioga County","2025","Postcensal Population Estimate","47,453"
"36109","Tompkins County","2025","Postcensal Population Estimate","104,047"
"36111","Ulster County","2025","Postcensal Population Estimate","183,330"
"36113","Warren County","2025","Postcensal Population Estimate","65,020"
"36115","Washington County","2025","Postcensal Population Estimate","59,353"
"36117","Wayne County","2025","Postcensal Population Estimate","91,250"
"36119","Westchester County","2025","Postcensal Population Estimate","1,015,743"
"36121","Wyoming County","2025","Postcensal Population Estimate","39,741"
"36123","Yates County","2025","Postcensal Population Estimate","24,547"
"36000","New York State","2024","Postcensal Population Estimate","20,001,419"
"36001","Albany County","2024","Postcensal Population Estimate","319,702"
"36003","Allegany County","2024","Postcensal Population Estimate","46,822"
"36005","Bronx County","2024","Postcensal Population Estimate","1,406,052"
"36007","Broome County","2024","Postcensal Population Estimate","195,893"
"36009","Cattaraugus County","2024","Postcensal Population Estimate","75,448"
"36011","Cayuga County","2024","Postcensal Population Estimate","74,642"
"36013","Chautauqua County","2024","Postcensal Population Estimate","124,697"
"36015","Chemung County","2024","Postcensal Population Estimate","80,837"
"36017","Chenango County","2024","Postcensal Population Estimate","45,793"
"36019","Clinton County","2024","Postcensal Population Estimate","77,832"
"36021","Columbia County","2024","Postcensal Population Estimate","60,389"
"36023","Cortland County","2024","Postcensal Population Estimate","46,062"
"36025","Delaware County","2024","Postcensal Population Estimate","44,481"
"36027","Dutchess County","2024","Postcensal Population Estimate","299,256"
"36029","Erie County","2024","Postcensal Population Estimate","947,783"
"36031","Essex County","2024","Postcensal Population Estimate","36,539"
"36033","Franklin County","2024","Postcensal Population Estimate","46,983"
"36035","Fulton County","2024","Postcensal Population Estimate","52,184"
"36037","Genesee County","2024","Postcensal Population Estimate","58,428"
"36039","Greene County","2024","Postcensal Population Estimate","47,311"
"36041","Hamilton County","2024","Postcensal Population Estimate","5,083"
"36043","Herkimer County","2024","Postcensal Population Estimate","59,368"
"36045","Jefferson County","2024","Postcensal Population Estimate","112,795"
"36047","Kings County","2024","Postcensal Population Estimate","2,658,657"
"36049","Lewis County","2024","Postcensal Population Estimate","26,512"
"36051","Livingston County","2024","Postcensal Population Estimate","61,364"
"36053","Madison County","2024","Postcensal Population Estimate","67,193"
"36055","Monroe County","2024","Postcensal Population Estimate","750,294"
"36057","Montgomery County","2024","Postcensal Population Estimate","49,580"
"36059","Nassau County","2024","Postcensal Population Estimate","1,397,783"
"36061","New York County","2024","Postcensal Population Estimate","1,665,510"
"36063","Niagara County","2024","Postcensal Population Estimate","209,380"
"36065","Oneida County","2024","Postcensal Population Estimate","227,292"
"36067","Onondaga County","2024","Postcensal Population Estimate","468,173"
"36069","Ontario County","2024","Postcensal Population Estimate","112,733"
"36071","Orange County","2024","Postcensal Population Estimate","415,088"
"36073","Orleans County","2024","Postcensal Population Estimate","39,886"
"36075","Oswego County","2024","Postcensal Population Estimate","118,182"
"36077","Otsego County","2024","Postcensal Population Estimate","60,634"
"36079","Putnam County","2024","Postcensal Population Estimate","98,842"
"36081","Queens County","2024","Postcensal Population Estimate","2,367,034"
"36083","Rensselaer County","2024","Postcensal Population Estimate","160,014"
"36085","Richmond County","2024","Postcensal Population Estimate","499,572"
"36087","Rockland County","2024","Postcensal Population Estimate","354,829"
"36089","St. Lawrence County","2024","Postcensal Population Estimate","106,168"
"36091","Saratoga County","2024","Postcensal Population Estimate","239,834"
"36093","Schenectady County","2024","Postcensal Population Estimate","161,747"
"36095","Schoharie County","2024","Postcensal Population Estimate","30,235"
"36097","Schuyler County","2024","Postcensal Population Estimate","17,141"
"36099","Seneca County","2024","Postcensal Population Estimate","32,671"
"36101","Steuben County","2024","Postcensal Population Estimate","91,939"
"36103","Suffolk County","2024","Postcensal Population Estimate","1,543,330"
"36105","Sullivan County","2024","Postcensal Population Estimate","80,901"
"36107","Tioga County","2024","Postcensal Population Estimate","47,545"
"36109","Tompkins County","2024","Postcensal Population Estimate","104,394"
"36111","Ulster County","2024","Postcensal Population Estimate","183,095"
"36113","Warren County","2024","Postcensal Population Estimate","65,261"
"36115","Washington County","2024","Postcensal Population Estimate","59,822"
"36117","Wayne County","2024","Postcensal Population Estimate","90,988"
"36119","Westchester County","2024","Postcensal Population Estimate","1,009,165"
"36121","Wyoming County","2024","Postcensal Population Estimate","39,817"
"36123","Yates County","2024","Postcensal Population Estimate","24,434"
"36000","New York State","2023","Postcensal Population Estimate","19,786,543"
"36001","Albany County","2023","Postcensal Population Estimate","317,590"
"36003","Allegany County","2023","Postcensal Population Estimate","46,694"
"36005","Bronx County","2023","Postcensal Population Estimate","1,380,478"
"36007","Broome County","2023","Postcensal Population Estimate","195,934"
"36009","Cattaraugus County","2023","Postcensal Population Estimate","75,671"
"36011","Cayuga County","2023","Postcensal Population Estimate","74,563"
"36013","Chautauqua County","2023","Postcensal Population Estimate","125,061"
"36015","Chemung County","2023","Postcensal Population Estimate","81,090"
"36017","Chenango County","2023","Postcensal Population Estimate","45,904"
"36019","Clinton County","2023","Postcensal Population Estimate","77,905"
"36021","Columbia County","2023","Postcensal Population Estimate","60,607"
"36023","Cortland County","2023","Postcensal Population Estimate","46,004"
"36025","Delaware County","2023","Postcensal Population Estimate","44,533"
"36027","Dutchess County","2023","Postcensal Population Estimate","297,451"
"36029","Erie County","2023","Postcensal Population Estimate","947,418"
