County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Population,Index_Total_Rate,Property_Total_Rate,Violent_Total_Rate,Murder_Rate,Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,Burglary_Rate,Larceny_Rate,Motor_Vehicle_Theft_Rate
Albany,1990,28374,3043,24,237,899,1883,25331,6311,17608,1412,292956,9685.41,8646.69,1038.72,8.19,80.9,306.87,642.76,2154.25,6010.46,481.98
Albany,1991,30434,3338,26,180,1162,1970,27096,6527,19074,1495,295530,10298.11,9168.61,1129.5,8.8,60.91,393.19,666.6,2208.57,6454.17,505.87
Albany,1992,31920,3157,22,192,1107,1836,28763,6880,20289,1594,296913,10750.62,9687.35,1063.27,7.41,64.67,372.84,618.36,2317.18,6833.31,536.86
Albany,1993,29718,3316,16,160,1105,2035,26402,6441,18622,1339,298592,9952.71,8842.17,1110.55,5.36,53.58,370.07,681.53,2157.12,6236.6,448.44
Albany,1994,32860,3520,26,202,1284,2008,29340,6782,20951,1607,300262,10943.78,9771.47,1172.31,8.66,67.27,427.63,668.75,2258.69,6977.57,535.2
Albany,1995,32850,3190,18,153,1284,1735,29660,6349,21546,1765,299725,10960.05,9895.74,1064.31,6.01,51.05,428.39,578.86,2118.28,7188.59,588.87
Albany,1996,26797,2801,22,128,1110,1541,23996,5814,16762,1420,297680,9001.95,8061.01,940.94,7.39,43.0,372.88,517.67,1953.1,5630.88,477.02
Albany,1997,28701,2891,20,256,1003,1612,25810,5564,18990,1256,296187,9690.16,8714.09,976.07,6.75,86.43,338.64,544.25,1878.54,6411.49,424.06
Albany,1998,27466,2620,6,206,950,1458,24846,5534,18154,1158,295097,9307.45,8419.6,887.84,2.03,69.81,321.93,494.07,1875.32,6151.88,392.41
Albany,1999,28290,2266,26,146,870,1224,26024,5690,19018,1316,294692,9599.85,8830.91,768.94,8.82,49.54,295.22,415.35,1930.83,6453.52,446.57
Albany,2000,28192,2706,24,158,974,1550,25486,4978,19238,1270,295106,9553.18,8636.22,916.96,8.13,53.54,330.05,525.24,1686.85,6519.01,430.35
Albany,2001,27466,3298,14,166,1066,2052,24168,4854,17778,1536,296232,9271.79,8158.47,1113.32,4.73,56.04,359.85,692.7,1638.58,6001.38,518.51
Albany,2002,25568,3412,20,156,1094,2142,22156,4360,16280,1516,298283,8571.73,7427.85,1143.88,6.71,52.3,366.77,718.11,1461.7,5457.9,508.24
Albany,2003,23954,2804,22,102,872,1808,21150,4136,15766,1248,301085,7955.89,7024.59,931.3,7.31,33.88,289.62,600.49,1373.7,5236.4,414.5
Albany,2004,25420,2862,28,154,962,1718,22558,3982,17224,1352,302173,8412.4,7465.26,947.14,9.27,50.96,318.36,568.55,1317.79,5700.05,447.43
Albany,2005,24238,3230,26,192,1022,1990,21008,4088,15780,1140,302791,8004.86,6938.12,1066.74,8.59,63.41,337.53,657.22,1350.11,5211.52,376.5
Albany,2006,23870,3090,10,142,910,2028,20780,3484,16408,888,303997,7852.05,6835.59,1016.46,3.29,46.71,299.35,667.11,1146.06,5397.42,292.11
Albany,2007,21168,2936,10,150,874,1902,18232,3170,14208,854,303858,6966.41,6000.17,966.24,3.29,49.37,287.63,625.95,1043.25,4675.87,281.05
Albany,2008,21500,2712,20,146,908,1638,18788,3320,14806,662,303739,7078.45,6185.57,892.87,6.58,48.07,298.94,539.28,1093.04,4874.58,217.95
Albany,2009,21226,2578,24,118,800,1636,18648,3042,14902,704,304733,6965.44,6119.46,845.99,7.88,38.72,262.52,536.86,998.25,4890.18,231.02
Albany,2010,22074,2364,6,122,734,1502,19710,3188,15812,710,304351,7252.81,6476.08,776.73,1.97,40.09,241.17,493.51,1047.47,5195.32,233.28
Albany,2011,21454,2332,14,94,792,1432,19122,3142,15478,502,305961,7012.0,6249.82,762.19,4.58,30.72,258.86,468.03,1026.93,5058.81,164.07
Albany,2012,19948,2022,12,134,624,1252,17926,3004,14400,522,308179,6472.86,5816.75,656.11,3.89,43.48,202.48,406.26,974.76,4672.61,169.38
Albany,2013,18912,2010,18,94,586,1312,16902,2406,13996,500,310132,6098.05,5449.94,648.11,5.8,30.31,188.95,423.05,775.8,4512.92,161.22
Albany,2014,18372,2006,28,92,632,1254,16366,2258,13642,466,311784,5892.54,5249.15,643.39,8.98,29.51,202.7,402.2,724.22,4375.47,149.46
Albany,2015,17288,2082,12,190,578,1302,15206,1880,12884,442,313127,5521.08,4856.18,664.91,3.83,60.68,184.59,415.81,600.4,4114.62,141.16
Albany,2016,17540,2198,10,214,586,1388,15342,1798,13112,432,314486,5577.35,4878.44,698.92,3.18,68.05,186.34,441.36,571.73,4169.34,137.37
Albany,2017,17586,2326,16,232,628,1450,15260,1576,13230,454,315662,5571.15,4834.28,736.86,5.07,73.5,198.95,459.35,499.27,4191.19,143.82
Albany,2018,16700,2192,30,238,516,1408,14508,1488,12564,456,315501,5293.17,4598.4,694.77,9.51,75.44,163.55,446.27,471.63,3982.24,144.53
Albany,2019,16008,1994,16,258,466,1254,14014,1492,12032,490,314630,5087.88,4454.12,633.76,5.09,82.0,148.11,398.56,474.21,3824.17,155.74
Albany,2020,14816,2198,34,216,428,1520,12618,1434,10326,858,314293,4714.07,4014.73,699.35,10.82,68.73,136.18,483.63,456.26,3285.47,272.99
