County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft
Albany,1990,28374,3043,24,237,899,1883,25331,6311,17608,1412
Albany,1991,30434,3338,26,180,1162,1970,27096,6527,19074,1495
Albany,1992,31920,3157,22,192,1107,1836,28763,6880,20289,1594
Albany,1993,29718,3316,16,160,1105,2035,26402,6441,18622,1339
Albany,1994,32860,3520,26,202,1284,2008,29340,6782,20951,1607
Albany,1995,32850,3190,18,153,1284,1735,29660,6349,21546,1765
Albany,1996,26797,2801,22,128,1110,1541,23996,5814,16762,1420
Albany,1997,28701,2891,20,256,1003,1612,25810,5564,18990,1256
Albany,1998,27466,2620,6,206,950,1458,24846,5534,18154,1158
Albany,1999,28290,2266,26,146,870,1224,26024,5690,19018,1316
Albany,2000,28192,2706,24,158,974,1550,25486,4978,19238,1270
Albany,2001,27466,3298,14,166,1066,2052,24168,4854,17778,1536
Albany,2002,25568,3412,20,156,1094,2142,22156,4360,16280,1516
Albany,2003,23954,2804,22,102,872,1808,21150,4136,15766,1248
Albany,2004,25420,2862,28,154,962,1718,22558,3982,17224,1352
Albany,2005,24238,3230,26,192,1022,1990,21008,4088,15780,1140
Albany,2006,23870,3090,10,142,910,2028,20780,3484,16408,888
Albany,2007,21168,2936,10,150,874,1902,18232,3170,14208,854
Albany,2008,21500,2712,20,146,908,1638,18788,3320,14806,662
Albany,2009,21226,2578,24,118,800,1636,18648,3042,14902,704
Albany,2010,22074,2364,6,122,734,1502,19710,3188,15812,710
Albany,2011,21454,2332,14,94,792,1432,19122,3142,15478,502
Albany,2012,19948,2022,12,134,624,1252,17926,3004,14400,522
Albany,2013,18912,2010,18,94,586,1312,16902,2406,13996,500
Albany,2014,18372,2006,28,92,632,1254,16366,2258,13642,466
Albany,2015,17288,2082,12,190,578,1302,15206,1880,12884,442
Albany,2016,17540,2198,10,214,586,1388,15342,1798,13112,432
Albany,2017,17586,2326,16,232,628,1450,15260,1576,13230,454
Albany,2018,16700,2192,30,238,516,1408,14508,1488,12564,456
Albany,2019,16008,1994,16,258,466,1254,14014,1492,12032,490
Albany,2020,14816,2198,34,216,428,1520,12618,1434,10326,858
Albany,2021,15806,2296,42,212,420,1622,13510,1346,11166,998
Albany,2022,19720,2566,34,266,622,1644,17154,1812,13792,1550
Albany,2023,19660,2708,38,246,610,1814,16952,1608,14154,1190
Albany,2024,18106,2602,32,268,588,1714,15504,1574,13068,862
Allegany,1990,2560,292,0,14,6,272,2268,758,1470,40
Allegany,1991,2834,268,2,18,6,242,2566,850,1648,68
Allegany,1992,2756,322,0,20,4,298,2434,848,1528,58
Allegany,1993,2530,262,2,22,12,226,2268,974,1264,30
Allegany,1994,2470,258,0,16,2,240,2212,724,1432,56
Allegany,1995,2494,320,4,36,2,278,2174,702,1426,46
Allegany,1996,2192,186,0,28,0,158,2006,660,1306,40
Allegany,1997,1886,168,0,16,2,150,1718,506,1172,40
Allegany,1998,1782,138,2,16,10,110,1644,598,1002,44
Allegany,1999,1518,188,0,10,4,174,1330,364,918,48
Allegany,2000,1928,286,6,18,2,260,1642,500,1110,32
Allegany,2001,1800,286,0,12,2,272,1514,388,1086,40
Allegany,2002,1724,232,0,26,2,204,1492,398,1088,6
Allegany,2003,1692,200,2,24,8,166,1492,356,1098,38
Allegany,2004,1886,194,0,38,4,152,1692,404,1226,62
Allegany,2005,2138,268,0,74,10,184,1870,468,1360,42
Allegany,2006,1678,238,4,26,6,202,1440,298,1110,32
Allegany,2007,1420,172,2,20,4,146,1248,390,826,32
Allegany,2008,1302,182,0,20,8,154,1120,348,736,36
Allegany,2009,1552,258,0,90,8,160,1294,408,852,34
Allegany,2010,1682,178,0,22,12,144,1504,322,1154,28
Allegany,2011,1790,128,0,26,8,94,1662,380,1242,40
Allegany,2012,1718,130,4,18,4,104,1588,422,1128,38
Allegany,2013,1592,108,0,18,8,82,1484,388,1068,28
