County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Population,Index_Total_Rate,Property_Total_Rate,Violent_Total_Rate,Murder_Rate,Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,Burglary_Rate,Larceny_Rate,Motor_Vehicle_Theft_Rate
Albany,1990,28374,3043,24,237,899,1883,25331,6311,17608,1412,292956,9685.41350919592,8646.69097065771,1038.7225385382105,8.192356531356245,80.89952074714292,306.87202173705265,642.7586395226587,2154.248419557886,6010.458908505031,481.9836425947924
Albany,1991,30434,3338,26,180,1162,1970,27096,6527,19074,1495,295530,10298.108483064325,9168.612323621968,1129.4961594423578,8.797753189185531,60.90752207897675,393.19189253206105,666.5989916421345,2208.5744256082294,6454.167089635569,505.8708083781681
Albany,1992,31920,3157,22,192,1107,1836,28763,6880,20289,1594,296913,10750.623920138221,9687.349492949113,1063.2744271891092,7.409577889819577,64.6654070384254,372.83648745592143,618.3629548049428,2317.177085543577,6833.314809388609,536.8575980169276
Albany,1993,29718,3316,16,160,1105,2035,26402,6441,18622,1339,298592,9952.711392133748,8842.165898617512,1110.545493516236,5.358482477762298,53.58482477762298,370.07019612045866,681.5319901403922,2157.124102454185,6236.603793805594,448.4380023577323
Albany,1994,32860,3520,26,202,1284,2008,29340,6782,20951,1607,300262,10943.775769161599,9771.466252805883,1172.309516355716,8.659104382172902,67.2745801999587,427.62653948884645,668.749292284738,2258.6940738421777,6977.5729196501725,535.1992593135329
Albany,1995,32850,3190,18,153,1284,1735,29660,6349,21546,1765,299725,10960.046709483693,9895.737759612979,1064.3089498707147,6.005505046292434,51.0467928934857,428.3926933021937,578.863958628743,2118.2750854950373,7188.589540412045,588.8731337058971
Albany,1996,26797,2801,22,128,1110,1541,23996,5814,16762,1420,297680,9001.948400967482,8061.005106154259,940.9432948132222,7.390486428379468,42.99919376511691,372.8836334318732,517.6699811878527,1953.1040042999193,5630.8787960225745,477.02230583176566
Albany,1997,28701,2891,20,256,1003,1612,25810,5564,18990,1256,296187,9690.16195849244,8714.089409731014,976.0725487614244,6.752490825053091,86.43188256067957,338.63741487641255,544.2507604992792,1878.54294752977,6411.490038387909,424.05642381333416
Albany,1998,27466,2620,6,206,950,1458,24846,5534,18154,1158,295097,9307.448059451639,8419.604401264669,887.8436581869689,2.0332297515732116,69.8075548040136,321.92804399909187,494.07482963229035,1875.3155742010256,6151.875485010014,392.41334205362983
Albany,1999,28290,2266,26,146,870,1224,26024,5690,19018,1316,294692,9599.85340626824,8830.914989209072,768.9384170591669,8.822770893000149,49.543251937616226,295.22348757346657,415.3489066550839,1930.8294761988789,6453.51757088757,446.5679421226229
Albany,2000,28192,2706,24,158,974,1550,25486,4978,19238,1270,295106,9553.1775023212,8636.21885017587,916.9586521453308,8.132670972464132,53.54008390205553,330.050896965836,525.2350003049752,1686.8515042052684,6519.01350701104,430.35383895956033
Albany,2001,27466,3298,14,166,1066,2052,24168,4854,17778,1536,296232,9271.786977774176,8158.470388074213,1113.3165896999649,4.726025547543817,56.03716006373383,359.85308812012204,692.7003159685652,1638.5805719841203,6001.377298873856,518.512517216236
Albany,2002,25568,3412,20,156,1094,2142,22156,4360,16280,1516,298283,8571.725508996491,7427.845368324712,1143.880140671778,6.7050418562237875,52.29932647854554,366.7657895354412,718.1099828015676,1461.6991246567857,5457.904070966163,508.24217270176314
Albany,2003,23954,2804,22,102,872,1808,21150,4136,15766,1248,301085,7955.892854177392,7024.594383645815,931.2984705315774,7.30690668748028,33.877476460135846,289.6192105219456,600.4948768620158,1373.6984572462925,5236.395037946095,414.50088845342674
Albany,2004,25420,2862,28,154,962,1718,22558,3982,17224,1352,302173,8412.399519480563,7465.259966972562,947.1395525080004,9.266215048995113,50.96418276947311,318.3606741833321,568.5484805062001,1317.7881544678048,5700.046000138993,447.425812365764
Albany,2005,24238,3230,26,192,1022,1990,21008,4088,15780,1140,302791,8004.8614390784405,6938.119032600044,1066.7424064783959,8.586780980940649,63.4100749361771,337.52654471235934,657.2190058489189,1350.1061788494374,5211.515533817055,376.4973199335515
Albany,2006,23870,3090,10,142,910,2028,20780,3484,16408,888,303997,7852.051171557614,6835.593772306964,1016.4573992506505,3.2895061464422346,46.71098727947973,299.34505932624336,667.1118464984852,1146.0639414204745,5397.421685082419,292.10814580407043
Albany,2007,21168,2936,10,150,874,1902,18232,3170,14208,854,303858,6966.411942420473,6000.171132568503,966.2408098519703,3.2910109327383186,49.36516399107478,287.63435552132904,625.9502794068281,1043.2504656780468,4675.868333234603,281.0523336558524
Albany,2008,21500,2712,20,146,908,1638,18788,3320,14806,662,303739,7078.44563918364,6185.573798557314,892.8718406263272,6.584600594589434,48.06758434050287,298.9408669943603,539.2787886968746,1093.043698701846,4874.579820174557,217.95027968091026
Albany,2009,21226,2578,24,118,800,1636,18648,3042,14902,704,304733,6965.441878628176,6119.455392097344,845.9864865308319,7.875746965376247,38.72242257976655,262.52489884587493,536.8634181398141,998.2509278614394,4890.182553251535,231.02191098436992
Albany,2010,22074,2364,6,122,734,1502,19710,3188,15812,710,304351,7252.810077837759,6476.075320928797,776.7347569089636,1.9714080124592988,40.085296253339074,241.16891352418753,493.50913911897777,1047.4747906200405,5195.317248834405,233.28328147435036
Albany,2011,21454,2332,14,94,792,1432,19122,3142,15478,502,305961,7012.0047979971305,6249.816153039113,762.1886449580176,4.575746582080723,30.722869908256282,258.856520929138,468.0335075385425,1026.928268635545,5058.814685531816,164.07319887175163
Albany,2012,19948,2022,12,134,624,1252,17926,3004,14400,522,308179,6472.861551241324,5816.7493567050315,656.1121945362922,3.893840917129331,43.48122357461086,202.47972769072518,406.2574023538269,974.7581762547092,4672.609100555196,169.38207989512588
