County,Year,Population
Albany,1990,"292,956"
Albany,1991,"295,530"
Albany,1992,"296,913"
Albany,1993,"298,592"
Albany,1994,"300,262"
Albany,1995,"299,725"
Albany,1996,"297,680"
Albany,1997,"296,187"
Albany,1998,"295,097"
Albany,1999,"294,692"
Albany,2000,"295,106"
Albany,2001,"296,232"
Albany,2002,"298,283"
Albany,2003,"301,085"
Albany,2004,"302,173"
Albany,2005,"302,791"
Albany,2006,"303,997"
Albany,2007,"303,858"
Albany,2008,"303,739"
Albany,2009,"304,733"
Albany,2010,"304,351"
Albany,2011,"305,961"
Albany,2012,"308,179"
Albany,2013,"310,132"
Albany,2014,"311,784"
Albany,2015,"313,127"
Albany,2016,"314,486"
Albany,2017,"315,662"
Albany,2018,"315,501"
Albany,2019,"314,630"
Albany,2020,"314,293"
Albany,2021,"316,195"
Albany,2022,"315,764"
Albany,2023,"317,590"
Albany,2024,"319,702"
Allegany,1990,"50,522"
Allegany,1991,"50,935"
Allegany,1992,"50,967"
Allegany,1993,"50,807"
Allegany,1994,"51,012"
Allegany,1995,"51,251"
Allegany,1996,"50,869"
Allegany,1997,"50,325"
Allegany,1998,"49,991"
Allegany,1999,"49,997"
Allegany,2000,"49,819"
Allegany,2001,"50,079"
Allegany,2002,"50,014"
Allegany,2003,"50,165"
Allegany,2004,"50,311"
Allegany,2005,"49,768"
Allegany,2006,"49,359"
Allegany,2007,"49,079"
Allegany,2008,"49,177"
Allegany,2009,"48,969"
Allegany,2010,"48,992"
Allegany,2011,"48,902"
Allegany,2012,"48,391"
Allegany,2013,"48,163"
Allegany,2014,"47,992"
Allegany,2015,"47,749"
Allegany,2016,"47,535"
Allegany,2017,"47,216"
Allegany,2018,"46,908"
Allegany,2019,"46,613"
Allegany,2020,"46,385"
Allegany,2021,"46,753"
Allegany,2022,"46,646"
Allegany,2023,"46,694"
Allegany,2024,"46,822"
Bronx,1990,"1,207,053"
Bronx,1991,"1,214,835"
Bronx,1992,"1,223,153"
Bronx,1993,"1,238,907"
Bronx,1994,"1,250,789"
Bronx,1995,"1,262,064"
Bronx,1996,"1,272,693"
Bronx,1997,"1,285,683"
Bronx,1998,"1,300,823"
Bronx,1999,"1,317,895"
Bronx,2000,"1,334,319"
Bronx,2001,"1,346,555"
Bronx,2002,"1,358,739"
Bronx,2003,"1,362,373"
Bronx,2004,"1,358,963"
Bronx,2005,"1,351,736"
Bronx,2006,"1,348,164"
Bronx,2007,"1,354,056"
Bronx,2008,"1,363,488"
Bronx,2009,"1,376,261"
Bronx,2010,"1,388,573"
Bronx,2011,"1,405,193"
Bronx,2012,"1,425,939"
Bronx,2013,"1,442,945"
Bronx,2014,"1,458,516"
Bronx,2015,"1,474,117"
Bronx,2016,"1,484,928"
Bronx,2017,"1,487,801"
Bronx,2018,"1,486,756"
Bronx,2019,"1,479,222"
Bronx,2020,"1,461,233"
Bronx,2021,"1,420,980"
Bronx,2022,"1,384,053"
Bronx,2023,"1,380,478"
Bronx,2024,"1,406,052"
Broome,1990,"212,252"
Broome,1991,"212,820"
Broome,1992,"213,460"
Broome,1993,"212,756"
Broome,1994,"210,823"
Broome,1995,"207,478"
Broome,1996,"204,415"
Broome,1997,"202,053"
Broome,1998,"201,072"
Broome,1999,"200,881"
